Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1013326,-,-,-,29.69,-82.34,-5,56,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI
2015,1,1,0,0,0,0
2015,1,1,0,30,0,0
2015,1,1,1,0,0,0
2015,1,1,1,30,0,0
2015,1,1,2,0,0,0
2015,1,1,2,30,0,0
2015,1,1,3,0,0,0
2015,1,1,3,30,0,0
2015,1,1,4,0,0,0
2015,1,1,4,30,0,0
2015,1,1,5,0,0,0
2015,1,1,5,30,0,0
2015,1,1,6,0,0,0
2015,1,1,6,30,0,0
2015,1,1,7,0,0,0
2015,1,1,7,30,0,0
2015,1,1,8,0,38,252
2015,1,1,8,30,18,0
2015,1,1,9,0,71,0
2015,1,1,9,30,50,0
2015,1,1,10,0,97,0
2015,1,1,10,30,113,0
2015,1,1,11,0,103,783
2015,1,1,11,30,106,801
2015,1,1,12,0,255,355
2015,1,1,12,30,285,210
2015,1,1,13,0,277,90
2015,1,1,13,30,272,132
2015,1,1,14,0,252,201
2015,1,1,14,30,223,84
2015,1,1,15,0,102,0
2015,1,1,15,30,71,0
2015,1,1,16,0,65,0
2015,1,1,16,30,48,0
2015,1,1,17,0,22,0
2015,1,1,17,30,3,0
2015,1,1,18,0,0,0
2015,1,1,18,30,0,0
2015,1,1,19,0,0,0
2015,1,1,19,30,0,0
2015,1,1,20,0,0,0
2015,1,1,20,30,0,0
2015,1,1,21,0,0,0
2015,1,1,21,30,0,0
2015,1,1,22,0,0,0
2015,1,1,22,30,0,0
2015,1,1,23,0,0,0
2015,1,1,23,30,0,0
2015,1,2,0,0,0,0
2015,1,2,0,30,0,0
2015,1,2,1,0,0,0
2015,1,2,1,30,0,0
2015,1,2,2,0,0,0
2015,1,2,2,30,0,0
2015,1,2,3,0,0,0
2015,1,2,3,30,0,0
2015,1,2,4,0,0,0
2015,1,2,4,30,0,0
2015,1,2,5,0,0,0
2015,1,2,5,30,0,0
2015,1,2,6,0,0,0
2015,1,2,6,30,0,0
2015,1,2,7,0,0,0
2015,1,2,7,30,0,0
2015,1,2,8,0,33,0
2015,1,2,8,30,32,0
2015,1,2,9,0,73,0
2015,1,2,9,30,128,2
2015,1,2,10,0,132,0
2015,1,2,10,30,177,11
2015,1,2,11,0,201,16
2015,1,2,11,30,238,36
2015,1,2,12,0,280,109
2015,1,2,12,30,285,219
2015,1,2,13,0,278,251
2015,1,2,13,30,273,185
2015,1,2,14,0,237,315
2015,1,2,14,30,210,330
2015,1,2,15,0,192,238
2015,1,2,15,30,143,345
2015,1,2,16,0,121,53
2015,1,2,16,30,76,0
2015,1,2,17,0,36,0
2015,1,2,17,30,6,0
2015,1,2,18,0,0,0
2015,1,2,18,30,0,0
2015,1,2,19,0,0,0
2015,1,2,19,30,0,0
2015,1,2,20,0,0,0
2015,1,2,20,30,0,0
2015,1,2,21,0,0,0
2015,1,2,21,30,0,0
2015,1,2,22,0,0,0
2015,1,2,22,30,0,0
2015,1,2,23,0,0,0
2015,1,2,23,30,0,0
2015,1,3,0,0,0,0
2015,1,3,0,30,0,0
2015,1,3,1,0,0,0
2015,1,3,1,30,0,0
2015,1,3,2,0,0,0
2015,1,3,2,30,0,0
2015,1,3,3,0,0,0
2015,1,3,3,30,0,0
2015,1,3,4,0,0,0
2015,1,3,4,30,0,0
2015,1,3,5,0,0,0
2015,1,3,5,30,0,0
2015,1,3,6,0,0,0
2015,1,3,6,30,0,0
2015,1,3,7,0,0,0
2015,1,3,7,30,0,0
2015,1,3,8,0,30,383
2015,1,3,8,30,59,0
2015,1,3,9,0,94,0
2015,1,3,9,30,127,1
2015,1,3,10,0,145,0
2015,1,3,10,30,166,4
2015,1,3,11,0,192,11
2015,1,3,11,30,266,232
2015,1,3,12,0,282,203
2015,1,3,12,30,243,429
2015,1,3,13,0,256,366
2015,1,3,13,30,216,485
2015,1,3,14,0,213,433
2015,1,3,14,30,219,284
2015,1,3,15,0,157,456
2015,1,3,15,30,134,425
2015,1,3,16,0,80,0
2015,1,3,16,30,73,0
2015,1,3,17,0,35,0
2015,1,3,17,30,6,0
2015,1,3,18,0,0,0
2015,1,3,18,30,0,0
2015,1,3,19,0,0,0
2015,1,3,19,30,0,0
2015,1,3,20,0,0,0
2015,1,3,20,30,0,0
2015,1,3,21,0,0,0
2015,1,3,21,30,0,0
2015,1,3,22,0,0,0
2015,1,3,22,30,0,0
2015,1,3,23,0,0,0
2015,1,3,23,30,0,0
2015,1,4,0,0,0,0
2015,1,4,0,30,0,0
2015,1,4,1,0,0,0
2015,1,4,1,30,0,0
2015,1,4,2,0,0,0
2015,1,4,2,30,0,0
2015,1,4,3,0,0,0
2015,1,4,3,30,0,0
2015,1,4,4,0,0,0
2015,1,4,4,30,0,0
2015,1,4,5,0,0,0
2015,1,4,5,30,0,0
2015,1,4,6,0,0,0
2015,1,4,6,30,0,0
2015,1,4,7,0,0,0
2015,1,4,7,30,0,0
2015,1,4,8,0,34,314
2015,1,4,8,30,53,511
2015,1,4,9,0,113,57
2015,1,4,9,30,121,0
2015,1,4,10,0,114,0
2015,1,4,10,30,133,0
2015,1,4,11,0,250,129
2015,1,4,11,30,265,246
2015,1,4,12,0,283,126
2015,1,4,12,30,284,244
2015,1,4,13,0,285,206
2015,1,4,13,30,275,125
2015,1,4,14,0,251,89
2015,1,4,14,30,212,44
2015,1,4,15,0,110,0
2015,1,4,15,30,106,0
2015,1,4,16,0,121,42
2015,1,4,16,30,80,8
2015,1,4,17,0,40,0
2015,1,4,17,30,7,0
2015,1,4,18,0,0,0
2015,1,4,18,30,0,0
2015,1,4,19,0,0,0
2015,1,4,19,30,0,0
2015,1,4,20,0,0,0
2015,1,4,20,30,0,0
2015,1,4,21,0,0,0
2015,1,4,21,30,0,0
2015,1,4,22,0,0,0
2015,1,4,22,30,0,0
2015,1,4,23,0,0,0
2015,1,4,23,30,0,0
2015,1,5,0,0,0,0
2015,1,5,0,30,0,0
2015,1,5,1,0,0,0
2015,1,5,1,30,0,0
2015,1,5,2,0,0,0
2015,1,5,2,30,0,0
2015,1,5,3,0,0,0
2015,1,5,3,30,0,0
2015,1,5,4,0,0,0
2015,1,5,4,30,0,0
2015,1,5,5,0,0,0
2015,1,5,5,30,0,0
2015,1,5,6,0,0,0
2015,1,5,6,30,0,0
2015,1,5,7,0,0,0
2015,1,5,7,30,0,0
2015,1,5,8,0,31,333
2015,1,5,8,30,74,81
2015,1,5,9,0,83,466
2015,1,5,9,30,124,414
2015,1,5,10,0,171,337
2015,1,5,10,30,193,382
2015,1,5,11,0,191,500
2015,1,5,11,30,184,565
2015,1,5,12,0,241,422
2015,1,5,12,30,210,531
2015,1,5,13,0,187,588
2015,1,5,13,30,213,496
2015,1,5,14,0,233,349
2015,1,5,14,30,194,423
2015,1,5,15,0,151,490
2015,1,5,15,30,121,495
2015,1,5,16,0,77,574
2015,1,5,16,30,62,466
2015,1,5,17,0,37,505
2015,1,5,17,30,15,220
2015,1,5,18,0,0,0
2015,1,5,18,30,0,0
2015,1,5,19,0,0,0
2015,1,5,19,30,0,0
2015,1,5,20,0,0,0
2015,1,5,20,30,0,0
2015,1,5,21,0,0,0
2015,1,5,21,30,0,0
2015,1,5,22,0,0,0
2015,1,5,22,30,0,0
2015,1,5,23,0,0,0
2015,1,5,23,30,0,0
2015,1,6,0,0,0,0
2015,1,6,0,30,0,0
2015,1,6,1,0,0,0
2015,1,6,1,30,0,0
2015,1,6,2,0,0,0
2015,1,6,2,30,0,0
2015,1,6,3,0,0,0
2015,1,6,3,30,0,0
2015,1,6,4,0,0,0
2015,1,6,4,30,0,0
2015,1,6,5,0,0,0
2015,1,6,5,30,0,0
2015,1,6,6,0,0,0
2015,1,6,6,30,0,0
2015,1,6,7,0,0,0
2015,1,6,7,30,0,0
2015,1,6,8,0,33,404
2015,1,6,8,30,51,598
2015,1,6,9,0,61,726
2015,1,6,9,30,69,800
2015,1,6,10,0,71,862
2015,1,6,10,30,76,898
2015,1,6,11,0,80,920
2015,1,6,11,30,82,937
2015,1,6,12,0,84,946
2015,1,6,12,30,84,950
2015,1,6,13,0,172,636
2015,1,6,13,30,88,931
2015,1,6,14,0,86,917
2015,1,6,14,30,83,896
2015,1,6,15,0,77,869
2015,1,6,15,30,72,825
2015,1,6,16,0,63,768
2015,1,6,16,30,53,672
2015,1,6,17,0,38,522
2015,1,6,17,30,16,233
2015,1,6,18,0,0,0
2015,1,6,18,30,0,0
2015,1,6,19,0,0,0
2015,1,6,19,30,0,0
2015,1,6,20,0,0,0
2015,1,6,20,30,0,0
