Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1013326,-,-,-,29.69,-82.34,-5,56,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI
2014,1,4,14,0,218,414
2014,1,4,14,30,219,57
2014,1,4,15,0,201,152
2014,1,4,15,30,165,103
2014,1,4,16,0,77,0
2014,1,4,16,30,78,0
2014,1,4,17,0,38,0
2014,1,4,17,30,7,0
2014,1,4,18,0,0,0
2014,1,4,18,30,0,0
2014,1,4,19,0,0,0
2014,1,4,19,30,0,0
2014,1,4,20,0,0,0
2014,1,4,20,30,0,0
2014,1,4,21,0,0,0
2014,1,4,21,30,0,0
2014,1,4,22,0,0,0
2014,1,4,22,30,0,0
2014,1,4,23,0,0,0
2014,1,4,23,30,0,0
2014,1,5,0,0,0,0
2014,1,5,0,30,0,0
2014,1,5,1,0,0,0
2014,1,5,1,30,0,0
2014,1,5,2,0,0,0
2014,1,5,2,30,0,0
2014,1,5,3,0,0,0
2014,1,5,3,30,0,0
2014,1,5,4,0,0,0
2014,1,5,4,30,0,0
2014,1,5,5,0,0,0
2014,1,5,5,30,0,0
2014,1,5,6,0,0,0
2014,1,5,6,30,0,0
2014,1,5,7,0,0,0
2014,1,5,7,30,0,0
2014,1,5,8,0,35,280
2014,1,5,8,30,55,474
2014,1,5,9,0,68,606
2014,1,5,9,30,78,686
2014,1,5,10,0,79,763
2014,1,5,10,30,84,801
2014,1,5,11,0,88,827
2014,1,5,11,30,90,844
2014,1,5,12,0,92,855
2014,1,5,12,30,92,859
2014,1,5,13,0,91,859
2014,1,5,13,30,90,852
2014,1,5,14,0,86,843
2014,1,5,14,30,83,820
2014,1,5,15,0,77,791
2014,1,5,15,30,72,745
2014,1,5,16,0,65,671
2014,1,5,16,30,54,571
2014,1,5,17,0,38,418
2014,1,5,17,30,15,146
2014,1,5,18,0,0,0
2014,1,5,18,30,0,0
2014,1,5,19,0,0,0
2014,1,5,19,30,0,0
2014,1,5,20,0,0,0
2014,1,5,20,30,0,0
2014,1,5,21,0,0,0
2014,1,5,21,30,0,0
2014,1,5,22,0,0,0
2014,1,5,22,30,0,0
2014,1,5,23,0,0,0
2014,1,5,23,30,0,0
2014,1,6,0,0,0,0
2014,1,6,0,30,0,0
2014,1,6,1,0,0,0
