Time,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.6687606125470963
16,0.6886167640014049
17,0.5991073308060686
18,0.5937223729515017
19,0.5357302672443307
20,0.3865798247246131
21,0.439295494524609
22,0.5252211574901938
23,0.3901145325749183
24,0.27960239375521523
25,0.36594470184362565
26,0.3729226943456587
27,0.31930948309769214
28,0.24523189659288405
29,0.26637444533588567
30,0.3059341340018961
31,0.42123026795218954
32,0.6292597317899143
33,0.5924667224594115
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.27032797734493536
64,0.35249723775402164
65,0.2855337513334312
66,0.24350677862211792
67,0.21420363358238426
68,0.19451960499659782
69,0.1791212117603006
70,0.17103123100583992
71,0.16544918884911866
72,0.16259283042042558
73,0.1650779229040856
74,0.17675004952350407
75,0.19305930386783862
76,0.20371067707841842
77,0.22319524281187947
78,0.2473407016805802
79,0.28809150476448664
80,0.34717363212009855
81,0.43262815147813055
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.3766211694284773
112,0.43241204299481784
113,0.3297010628408893
114,0.27216655623543956
115,0.23988412909213008
116,0.21889432261181657
117,0.20500274342112232
118,0.19539660345909918
119,0.27411147621665066
120,0.2214850321544218
121,0.23773214084076943
122,0.4014972771974195
123,0.48134502866735757
124,0.5577431531874139
125,0.5267070797379464
126,0.5490912164770718
127,0.5175372945693973
128,0.5715479855839797
129,0.6888866583550307
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.31829580731597373
160,0.39312849010108875
161,0.32640040622561484
162,0.2796250415941441
163,0.2487416488192036
164,0.2289517771806553
165,0.21439622024386368
166,0.2044847210914164
167,0.19814289527392198
168,0.19699425311020163
169,0.19717552166325628
170,0.20051504012585145
171,0.2081789696221911
172,0.21889689838577175
173,0.23645980261392832
174,0.26365401288003876
175,0.30205255353954263
176,0.3615694902123184
177,0.4443015229288428
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.660792348648463
208,0.6653961488326969
209,0.4709881164635047
210,0.5871179614208266
211,0.5876925987735769
212,0.8103184093534634
213,0.7627769777032434
214,0.8127934124942224
215,0.8229491529292041
216,0.7083543546481236
217,0.735099578063801
218,0.709267207876028
219,0.5964545374039834
220,0.4538847686345879
221,0.4394657176568509
222,0.36347366358547256
223,0.33290642348513727
224,0.43841323099421764
225,0.5357376163217579
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.7765657286345069
256,0.7856437148205755
257,0.7665200497019525
258,0.7468559835442485
259,0.6952656785908912
260,0.5682988300298296
261,0.5105260925377696
262,0.46908183250127766
263,0.4011618351372349
264,0.30311642359690955
265,0.5987777114433375
266,0.5635364334993609
267,0.6092415989656931
268,0.7422583153928832
269,0.7018623667822379
270,0.713216088105814
271,0.7157935532342188
272,0.7448846560715146
273,0.7799227533704526
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.6711573582499604
304,0.4389286066496949
305,0.5174512940338127
306,0.6017498115097489
307,0.3008562942611426
308,0.31151659689813893
309,0.2235058534619468
310,0.22590473819016715
311,0.21642804815731892
312,0.20957431627942819
313,0.21393493243797285
314,0.2186683826000069
315,0.22645501569424403
316,0.2395925943095262
317,0.2583338137482202
318,0.28475768032898163
319,0.32557063807517395
320,0.38388253779395576
321,0.4707514351878973
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.8931588058208485
352,0.9450019029676213
353,0.9528042232639139
354,0.9454804400392378
355,0.9519540135427315
356,0.9387464352581741
357,0.9472089852448716
358,0.9393864068227653
359,0.9582504679838829
360,0.9653729581842181
361,0.9461555671739289
362,0.9001882255387771
363,0.8399437928781639
364,0.9483770947217245
365,0.8554951915483968
366,0.4219013448284074
367,0.5062679884732417
368,0.5055193695363855
369,0.536684078263302
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.4307566712209358
400,0.6176634846107171
401,0.4747979155914483
402,0.36355624052927
403,0.37783953521293584
404,0.2820263427671191
405,0.28013812278318995
406,0.40303178504743875
407,0.30768320624011897
408,0.23071965241713766
409,0.24203341164237485
410,0.22538769145372625
411,0.23400392907656178
412,0.24816876551033168
413,0.2639219809781265
414,0.2913541677570963
415,0.3265308750899964
416,0.3829832714550585
417,0.470918717179302
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
