Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,679106,-,-,-,30.25,-97.7,-6,145,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,Pressure
2015,1,1,0,0,0,0,2,1010.0
2015,1,1,0,30,0,0,2,1010.0
2015,1,1,1,0,0,0,2,1000.0
2015,1,1,1,30,0,0,2,1000.0
2015,1,1,2,0,0,0,2,1000.0
2015,1,1,2,30,0,0,2,1000.0
2015,1,1,3,0,0,0,2,1000.0
2015,1,1,3,30,0,0,2,1000.0
2015,1,1,4,0,0,0,2,1000.0
2015,1,1,4,30,0,0,2,1000.0
2015,1,1,5,0,0,0,2,1000.0
2015,1,1,5,30,0,0,2,1000.0
2015,1,1,6,0,0,0,2,1000.0
2015,1,1,6,30,0,0,2,1000.0
2015,1,1,7,0,0,0,2,1000.0
2015,1,1,7,30,0,0,2,1000.0
2015,1,1,8,0,4,0,2,1000.0
2015,1,1,8,30,19,0,2,1000.0
2015,1,1,9,0,26,0,2,1000.0
2015,1,1,9,30,52,0,2,1000.0
2015,1,1,10,0,58,0,3,1000.0
2015,1,1,10,30,86,0,3,1000.0
2015,1,1,11,0,41,0,3,1000.0
2015,1,1,11,30,85,0,3,1000.0
2015,1,1,12,0,109,0,3,1000.0
2015,1,1,12,30,106,0,3,1000.0
2015,1,1,13,0,111,0,4,1000.0
2015,1,1,13,30,98,0,4,1000.0
2015,1,1,14,0,80,0,4,1000.0
2015,1,1,14,30,165,2,4,1000.0
2015,1,1,15,0,125,0,4,1000.0
2015,1,1,15,30,125,0,4,1000.0
2015,1,1,16,0,82,0,4,1000.0
2015,1,1,16,30,64,0,3,1000.0
2015,1,1,17,0,30,0,3,1000.0
2015,1,1,17,30,4,0,3,1000.0
2015,1,1,18,0,0,0,3,1000.0
2015,1,1,18,30,0,0,3,1000.0
2015,1,1,19,0,0,0,3,1000.0
2015,1,1,19,30,0,0,3,1000.0
2015,1,1,20,0,0,0,3,1000.0
2015,1,1,20,30,0,0,3,1000.0
2015,1,1,21,0,0,0,3,1000.0
2015,1,1,21,30,0,0,3,1000.0
2015,1,1,22,0,0,0,3,1000.0
2015,1,1,22,30,0,0,3,1000.0
2015,1,1,23,0,0,0,3,1000.0
2015,1,1,23,30,0,0,3,1000.0
2015,1,2,0,0,0,0,3,1000.0
2015,1,2,0,30,0,0,3,1000.0
2015,1,2,1,0,0,0,3,1000.0
2015,1,2,1,30,0,0,3,1000.0
2015,1,2,2,0,0,0,3,1000.0
2015,1,2,2,30,0,0,3,1000.0
2015,1,2,3,0,0,0,3,1000.0
2015,1,2,3,30,0,0,3,1000.0
2015,1,2,4,0,0,0,3,1000.0
2015,1,2,4,30,0,0,3,1000.0
2015,1,2,5,0,0,0,3,1000.0
2015,1,2,5,30,0,0,3,1000.0
2015,1,2,6,0,0,0,3,1000.0
2015,1,2,6,30,0,0,3,1000.0
2015,1,2,7,0,0,0,3,1000.0
2015,1,2,7,30,0,0,3,1000.0
2015,1,2,8,0,23,0,4,1000.0
2015,1,2,8,30,61,0,4,1000.0
2015,1,2,9,0,25,0,4,1000.0
2015,1,2,9,30,85,0,4,1000.0
2015,1,2,10,0,172,41,5,1000.0
2015,1,2,10,30,179,15,5,1000.0
2015,1,2,11,0,123,0,6,1000.0
2015,1,2,11,30,82,0,6,1000.0
2015,1,2,12,0,205,11,7,1000.0
2015,1,2,12,30,236,26,7,1000.0
2015,1,2,13,0,28,0,7,1000.0
2015,1,2,13,30,93,0,7,990.0
2015,1,2,14,0,153,0,7,990.0
2015,1,2,14,30,224,96,7,990.0
2015,1,2,15,0,99,0,7,990.0
2015,1,2,15,30,120,0,7,990.0
2015,1,2,16,0,84,0,7,990.0
2015,1,2,16,30,57,0,6,990.0
2015,1,2,17,0,26,0,6,990.0
2015,1,2,17,30,3,0,5,990.0
2015,1,2,18,0,0,0,5,990.0
2015,1,2,18,30,0,0,5,990.0
2015,1,2,19,0,0,0,5,990.0
2015,1,2,19,30,0,0,5,990.0
2015,1,2,20,0,0,0,5,990.0
2015,1,2,20,30,0,0,5,990.0
2015,1,2,21,0,0,0,5,990.0
2015,1,2,21,30,0,0,4,990.0
2015,1,2,22,0,0,0,4,990.0
2015,1,2,22,30,0,0,4,990.0
2015,1,2,23,0,0,0,4,990.0
2015,1,2,23,30,0,0,4,990.0
2015,1,3,0,0,0,0,4,990.0
2015,1,3,0,30,0,0,4,990.0
2015,1,3,1,0,0,0,4,990.0
2015,1,3,1,30,0,0,4,990.0
2015,1,3,2,0,0,0,4,990.0
2015,1,3,2,30,0,0,4,990.0
2015,1,3,3,0,0,0,4,990.0
2015,1,3,3,30,0,0,4,990.0
2015,1,3,4,0,0,0,4,990.0
2015,1,3,4,30,0,0,3,990.0
2015,1,3,5,0,0,0,3,990.0
2015,1,3,5,30,0,0,2,990.0
2015,1,3,6,0,0,0,2,990.0
2015,1,3,6,30,0,0,2,990.0
2015,1,3,7,0,0,0,2,990.0
2015,1,3,7,30,0,0,3,990.0
2015,1,3,8,0,34,282,4,990.0
2015,1,3,8,30,57,484,5,990.0
2015,1,3,9,0,107,48,6,990.0
2015,1,3,9,30,127,373,7,1000.0
2015,1,3,10,0,164,383,8,1000.0
2015,1,3,10,30,217,193,9,990.0
2015,1,3,11,0,188,493,10,990.0
2015,1,3,11,30,84,926,11,990.0
2015,1,3,12,0,84,943,12,990.0
2015,1,3,12,30,84,948,13,990.0
2015,1,3,13,0,80,956,14,990.0
2015,1,3,13,30,79,949,14,990.0
2015,1,3,14,0,74,945,15,990.0
2015,1,3,14,30,71,925,15,990.0
2015,1,3,15,0,66,900,16,990.0
2015,1,3,15,30,61,858,15,990.0
2015,1,3,16,0,53,801,14,990.0
2015,1,3,16,30,45,706,12,990.0
2015,1,3,17,0,32,552,10,990.0
2015,1,3,17,30,13,252,9,990.0
2015,1,3,18,0,0,0,9,990.0
2015,1,3,18,30,0,0,8,990.0
2015,1,3,19,0,0,0,7,990.0
2015,1,3,19,30,0,0,6,1000.0
2015,1,3,20,0,0,0,6,1000.0
2015,1,3,20,30,0,0,6,1000.0
2015,1,3,21,0,0,0,6,1000.0
2015,1,3,21,30,0,0,5,1000.0
2015,1,3,22,0,0,0,5,1000.0
2015,1,3,22,30,0,0,4,1000.0
2015,1,3,23,0,0,0,4,1000.0
2015,1,3,23,30,0,0,4,1000.0
2015,1,4,0,0,0,0,4,1000.0
2015,1,4,0,30,0,0,4,1000.0
2015,1,4,1,0,0,0,4,1000.0
2015,1,4,1,30,0,0,4,1000.0
2015,1,4,2,0,0,0,4,1000.0
2015,1,4,2,30,0,0,4,1000.0
2015,1,4,3,0,0,0,4,1000.0
2015,1,4,3,30,0,0,3,1000.0
2015,1,4,4,0,0,0,3,1000.0
2015,1,4,4,30,0,0,3,1000.0
2015,1,4,5,0,0,0,3,1000.0
2015,1,4,5,30,0,0,2,1000.0
2015,1,4,6,0,0,0,2,1010.0
2015,1,4,6,30,0,0,2,1010.0
2015,1,4,7,0,0,0,2,1010.0
2015,1,4,7,30,0,0,2,1010.0
2015,1,4,8,0,29,405,3,1010.0
2015,1,4,8,30,46,605,3,1010.0
2015,1,4,9,0,56,737,4,1010.0
2015,1,4,9,30,64,813,5,1010.0
2015,1,4,10,0,67,877,6,1010.0
2015,1,4,10,30,71,912,6,1010.0
2015,1,4,11,0,71,946,7,1010.0
2015,1,4,11,30,73,962,8,1010.0
2015,1,4,12,0,73,975,9,1010.0
2015,1,4,12,30,73,979,9,1010.0
2015,1,4,13,0,72,980,9,1010.0
2015,1,4,13,30,143,691,9,1010.0
2015,1,4,14,0,69,962,10,1010.0
2015,1,4,14,30,67,942,9,1010.0
2015,1,4,15,0,63,914,9,1010.0
2015,1,4,15,30,66,757,8,1010.0
2015,1,4,16,0,49,796,8,1010.0
2015,1,4,16,30,83,188,6,1010.0
2015,1,4,17,0,47,138,5,1010.0
2015,1,4,17,30,13,0,4,1010.0
2015,1,4,18,0,0,0,3,1010.0
2015,1,4,18,30,0,0,2,1010.0
2015,1,4,19,0,0,0,2,1010.0
2015,1,4,19,30,0,0,1,1010.0
2015,1,4,20,0,0,0,1,1010.0
2015,1,4,20,30,0,0,0,1010.0
2015,1,4,21,0,0,0,0,1010.0
2015,1,4,21,30,0,0,0,1010.0
2015,1,4,22,0,0,0,0,1010.0
2015,1,4,22,30,0,0,0,1010.0
2015,1,4,23,0,0,0,0,1020.0
2015,1,4,23,30,0,0,0,1020.0
2015,1,5,0,0,0,0,-1,1020.0
2015,1,5,0,30,0,0,-1,1020.0
2015,1,5,1,0,0,0,-1,1020.0
2015,1,5,1,30,0,0,-1,1020.0
2015,1,5,2,0,0,0,-2,1020.0
2015,1,5,2,30,0,0,-2,1020.0
2015,1,5,3,0,0,0,-2,1020.0
2015,1,5,3,30,0,0,-2,1020.0
2015,1,5,4,0,0,0,-3,1020.0
2015,1,5,4,30,0,0,-3,1020.0
2015,1,5,5,0,0,0,-3,1010.0
2015,1,5,5,30,0,0,-3,1010.0
2015,1,5,6,0,0,0,-4,1020.0
2015,1,5,6,30,0,0,-4,1020.0
2015,1,5,7,0,0,0,-4,1020.0
2015,1,5,7,30,0,0,-2,1020.0
2015,1,5,8,0,26,496,-1,1020.0
2015,1,5,8,30,56,386,0,1020.0
2015,1,5,9,0,80,461,1,1020.0
2015,1,5,9,30,57,867,2,1020.0
2015,1,5,10,0,62,914,3,1020.0
2015,1,5,10,30,66,947,4,1020.0
2015,1,5,11,0,69,969,5,1010.0
2015,1,5,11,30,72,984,6,1010.0
2015,1,5,12,0,86,964,7,1010.0
2015,1,5,12,30,86,968,7,1010.0
2015,1,5,13,0,86,966,8,1010.0
2015,1,5,13,30,85,959,8,1010.0
2015,1,5,14,0,83,945,9,1010.0
2015,1,5,14,30,80,923,9,1010.0
2015,1,5,15,0,79,880,10,1010.0
2015,1,5,15,30,73,833,9,1010.0
2015,1,5,16,0,66,763,9,1010.0
2015,1,5,16,30,55,661,7,1010.0
2015,1,5,17,0,40,495,5,1010.0
2015,1,5,17,30,16,189,4,1010.0
2015,1,5,18,0,0,0,3,1010.0
2015,1,5,18,30,0,0,3,1010.0
2015,1,5,19,0,0,0,3,1010.0
2015,1,5,19,30,0,0,2,1010.0
2015,1,5,20,0,0,0,2,1010.0
2015,1,5,20,30,0,0,2,1010.0
2015,1,5,21,0,0,0,2,1010.0
2015,1,5,21,30,0,0,2,1010.0
2015,1,5,22,0,0,0,2,1010.0
2015,1,5,22,30,0,0,2,1010.0
2015,1,5,23,0,0,0,2,1010.0
2015,1,5,23,30,0,0,2,1010.0
2015,1,6,0,0,0,0,2,1010.0
2015,1,6,0,30,0,0,1,1010.0
2015,1,6,1,0,0,0,1,1010.0
2015,1,6,1,30,0,0,1,1010.0
2015,1,6,2,0,0,0,1,1010.0
2015,1,6,2,30,0,0,1,1010.0
2015,1,6,3,0,0,0,1,1010.0
2015,1,6,3,30,0,0,1,1010.0
2015,1,6,4,0,0,0,1,1010.0
2015,1,6,4,30,0,0,1,1010.0
2015,1,6,5,0,0,0,1,1010.0
2015,1,6,5,30,0,0,1,1010.0
2015,1,6,6,0,0,0,1,1010.0
2015,1,6,6,30,0,0,1,1010.0
2015,1,6,7,0,0,0,1,1010.0
2015,1,6,7,30,0,0,3,1010.0
2015,1,6,8,0,31,349,5,1010.0
2015,1,6,8,30,62,297,6,1010.0
2015,1,6,9,0,63,676,8,1010.0
2015,1,6,9,30,72,753,10,1010.0
2015,1,6,10,0,78,809,12,1010.0
2015,1,6,10,30,83,846,13,1010.0
2015,1,6,11,0,86,872,15,1010.0
2015,1,6,11,30,89,888,16,1010.0
2015,1,6,12,0,94,889,17,1010.0
2015,1,6,12,30,94,892,17,1010.0
2015,1,6,13,0,94,889,18,1000.0
2015,1,6,13,30,92,880,18,1000.0
2015,1,6,14,0,90,864,19,1000.0
2015,1,6,14,30,86,840,18,1000.0
2015,1,6,15,0,82,805,18,1000.0
2015,1,6,15,30,76,757,17,1000.0
2015,1,6,16,0,68,686,17,1000.0
2015,1,6,16,30,57,585,14,1000.0
2015,1,6,17,0,41,422,12,1000.0
2015,1,6,17,30,16,152,11,1000.0
2015,1,6,18,0,0,0,11,1000.0
2015,1,6,18,30,0,0,10,1000.0
2015,1,6,19,0,0,0,10,1000.0
2015,1,6,19,30,0,0,9,1000.0
2015,1,6,20,0,0,0,9,1000.0
2015,1,6,20,30,0,0,9,1000.0
2015,1,6,21,0,0,0,9,1000.0
2015,1,6,21,30,0,0,8,1000.0
2015,1,6,22,0,0,0,8,1000.0
2015,1,6,22,30,0,0,8,1000.0
2015,1,6,23,0,0,0,8,1000.0
2015,1,6,23,30,0,0,8,1000.0
2015,1,7,0,0,0,0,8,1000.0
2015,1,7,0,30,0,0,7,1000.0
2015,1,7,1,0,0,0,7,1000.0
2015,1,7,1,30,0,0,6,1000.0
2015,1,7,2,0,0,0,6,1000.0
2015,1,7,2,30,0,0,6,1000.0
2015,1,7,3,0,0,0,6,1000.0
2015,1,7,3,30,0,0,5,1000.0
2015,1,7,4,0,0,0,5,1000.0
2015,1,7,4,30,0,0,5,1010.0
2015,1,7,5,0,0,0,5,1010.0
2015,1,7,5,30,0,0,5,1010.0
2015,1,7,6,0,0,0,5,1010.0
2015,1,7,6,30,0,0,5,1010.0
2015,1,7,7,0,0,0,5,1010.0
2015,1,7,7,30,0,0,5,1010.0
2015,1,7,8,0,14,0,6,1010.0
2015,1,7,8,30,36,0,6,1010.0
2015,1,7,9,0,81,0,7,1010.0
2015,1,7,9,30,125,1,7,1010.0
2015,1,7,10,0,167,27,8,1010.0
2015,1,7,10,30,218,107,8,1010.0
2015,1,7,11,0,243,97,9,1010.0
2015,1,7,11,30,268,138,9,1010.0
2015,1,7,12,0,286,125,9,1010.0
2015,1,7,12,30,288,136,9,1010.0
2015,1,7,13,0,291,130,10,1010.0
2015,1,7,13,30,130,787,10,1010.0
2015,1,7,14,0,120,788,10,1010.0
2015,1,7,14,30,116,765,9,1010.0
2015,1,7,15,0,107,739,9,1010.0
2015,1,7,15,30,98,690,8,1010.0
2015,1,7,16,0,81,650,7,1020.0
2015,1,7,16,30,67,548,6,1020.0
2015,1,7,17,0,44,418,5,1020.0
